userId;timestamp;accountId;propertyId;business;salePrice;rentPrice;lat;lon
173923352cc271d2414fe3f7642bb3c3;1442592980044;67853;49515874;VENTA;580000;0;-23.696;-46.621
173923352cc271d2414fe3f7642bb3c3;1442593005540;67853;49515874;VENTA;580000;0;-23.696;-46.621
173923352cc271d2414fe3f7642bb3c3;1442593382478;22704;51357828;VENTA;580000;0;-23.701602;-46.58156
173923352cc271d2414fe3f7642bb3c3;1442593405169;22704;51357828;VENTA;580000;0;-23.701602;-46.58156
173923352cc271d2414fe3f7642bb3c3;1442593648404;56728;55583286;VENTA;1300000;0;-23.669448;-46.564195
173923352cc271d2414fe3f7642bb3c3;1442594709450;22704;51357828;VENTA;580000;0;-23.701602;-46.58156
173923352cc271d2414fe3f7642bb3c3;1442596526007;22704;51357828;VENTA;580000;0;-23.701602;-46.58156
173923352cc271d2414fe3f7642bb3c3;1442596594712;76106;53399800;VENTA;400000;0;-23.696;-46.621
173923352cc271d2414fe3f7642bb3c3;1442596768088;76106;53399800;VENTA;400000;0;-23.696;-46.621
173923352cc271d2414fe3f7642bb3c3;1442596809466;72281;45918737;VENTA;320000;0;-23.686248;-46.626517
173923352cc271d2414fe3f7642bb3c3;1442597090418;56728;55507490;VENTA;890000;0;-23.7062;-46.5812
19d1f2bf2d1c31e12432dd8aa714fa02;1442597949531;82897;49726978;VENTA;249000;0;-23.320852;-51.150242
19d1f2bf2d1c31e12432dd8aa714fa02;1442598293302;39344;54002760;VENTA;186924;0;-23.3097371;-51.1611537
19d1f2bf2d1c31e12432dd8aa714fa02;1442598384214;39344;54002760;VENTA;186924;0;-23.3097371;-51.1611537
19d1f2bf2d1c31e12432dd8aa714fa02;1442599335653;65573;53177406;VENTA;146000;0;-23.328668;-51.116177
19d1f2bf2d1c31e12432dd8aa714fa02;1442599455437;65573;53177406;VENTA;146000;0;-23.328668;-51.116177
19d1f2bf2d1c31e12432dd8aa714fa02;1442600503814;98347;54626616;VENTA;235000;0;-23.34338;-51.171254
19d1f2bf2d1c31e12432dd8aa714fa02;1442600572857;99176;55477743;VENTA;120000;0;-23.285709;-51.179872
19d1f2bf2d1c31e12432dd8aa714fa02;1442600672471;65573;48215282;VENTA;135000;0;-23.273726;-51.185143
19d1f2bf2d1c31e12432dd8aa714fa02;1442600784737;55567;56411856;VENTA;230000;0;-23.320852;-51.150242
19d1f2bf2d1c31e12432dd8aa714fa02;1442600828732;55567;56411855;VENTA;230000;0;-23.320852;-51.150242
19d1f2bf2d1c31e12432dd8aa714fa02;1442601328078;58191;54003331;VENTA;145000;0;-23.2902;-51.2092
19d1f2bf2d1c31e12432dd8aa714fa02;1442601378820;58191;54003139;VENTA;230000;0;-23.2629608;-51.1431848
19d1f2bf2d1c31e12432dd8aa714fa02;1442601520277;65573;48195861;VENTA;120000;0;-23.304452;-51.169582
19d1f2bf2d1c31e12432dd8aa714fa02;1442601591932;73059;54488632;VENTA;138000;0;-23.29273;-51.17320729999999
19d1f2bf2d1c31e12432dd8aa714fa02;1442601699527;48609;39738986;VENTA;175000;0;-23.3395951;-51.1333677
19d1f2bf2d1c31e12432dd8aa714fa02;1442602089116;99957;56254711;VENTA;125000;0;-23.295712;-51.208601
19d1f2bf2d1c31e12432dd8aa714fa02;1442602246715;99957;56254711;VENTA;125000;0;-23.295712;-51.208601
19d1f2bf2d1c31e12432dd8aa714fa02;1442602424906;58191;54040796;VENTA;145000;0;-23.31178;-51.1981477
